Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,References,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,Subject
"Wang, D., Kuson, M.",57000219980; 57000133247,Robust Markov Chains Integration with Automata Theory for Heterogeneous Architectures: Case Study 100 in Computational Theory and Mathematics,2023,Discrete Applied Mathematics,21,1,,184,202,19,16,10.1016/j.comp.2023.000810,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000810&doi=10.1016/j.comp.2023.000810,"Stanford University, Department of Computer Science, Stanford, United States","Wang, D., Stanford University, Department of Computer Science, Stanford, United States; Kuson, M., Stanford University, Department of Computer Science, Stanford, United States","Recent advancements in computational theory and mathematics have demonstrated the critical role of markov chains in modern computing infrastructures. In this work, we tackle fundamental challenges in automata theory by proposing an robust framework specifically designed for heterogeneous architectures. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 28.3% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying markov chains models in production.",markov chains; automata theory; quantum computing; graph theory; approximation algorithms; discrete mathematics,markov chains; Algorithms; quantum computing; graph theory; combinatorial optimization; approximation algorithms; automata theory; Computer Science; computational complexity; discrete mathematics; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Wang, D., Stanford University, Department of Computer Science, Stanford, United States",,Elsevier / IEEE,3879-4285,,,,English,Discrete Applie,Article,Final,Gold,Scopus,2-s2.0-85000000810,Computational Theory and Mathematics
"Ngamjan-at, N., Smith, P., Smith, S.",57000130791; 57000786674; 57000377339,Automated Computational Complexity Integration with Matrix Decomposition for Edge Devices: Case Study 101 in Computational Theory and Mathematics,2022,SIAM Journal on Computing,66,7,,449,469,21,36,10.1016/j.comp.2022.000811,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000811&doi=10.1016/j.comp.2022.000811,"Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand","Ngamjan-at, N., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand; Smith, P., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand; Smith, S., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand","Recent advancements in computational theory and mathematics have demonstrated the critical role of computational complexity in modern computing infrastructures. In this work, we tackle fundamental challenges in matrix decomposition by proposing an automated framework specifically designed for edge devices. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 21.3% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying computational complexity models in production.",computational complexity; matrix decomposition; computability theory; algorithmic game theory; numerical analysis,boolean satisfiability; numerical analysis; Algorithms; matrix decomposition; algorithmic game theory; approximation algorithms; Computer Science; computational complexity; Performance evaluation; computability theory,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Ngamjan-at, N., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand",,Elsevier / IEEE,5912-7272,,,,English,SIAM Journal on,Article,Final,All Open Access,Scopus,2-s2.0-85000000811,Computational Theory and Mathematics
"Smith, C., Muller, A.",57000483727; 57000623470,Automated Boolean Satisfiability Integration with Matrix Decomposition for Large-Scale Systems: Case Study 102 in Computational Theory and Mathematics,2025,Algorithmica,31,3,,651,670,20,2,10.1016/j.comp.2025.000812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000812&doi=10.1016/j.comp.2025.000812,"Nanyang Technological University, School of Computer Science and Engineering, Singapore","Smith, C., Nanyang Technological University, School of Computer Science and Engineering, Singapore; Muller, A., Nanyang Technological University, School of Computer Science and Engineering, Singapore","Recent advancements in computational theory and mathematics have demonstrated the critical role of boolean satisfiability in modern computing infrastructures. In this work, we tackle fundamental challenges in matrix decomposition by proposing an automated framework specifically designed for large-scale systems. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 27.7% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying boolean satisfiability models in production.",boolean satisfiability; matrix decomposition; formal verification; approximation algorithms,linear programming; boolean satisfiability; formal verification; Algorithms; matrix decomposition; algorithmic game theory; approximation algorithms; Computer Science; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Smith, C., Nanyang Technological University, School of Computer Science and Engineering, Singapore",,Elsevier / IEEE,2663-3067,,,,English,Algorithmica,Article,Final,Bronze,Scopus,2-s2.0-85000000812,Computational Theory and Mathematics
"Li, M., Nguyen, A., Fernandez, M.",57000988462; 57000538625; 57000837770,Explainable Linear Programming Integration with Randomized Algorithms for Autonomous Platforms: Case Study 103 in Computational Theory and Mathematics,2024,Discrete Applied Mathematics,69,2,,1357,1366,10,1,10.1016/j.comp.2024.000813,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000813&doi=10.1016/j.comp.2024.000813,"KAIST, School of Computing, Daejeon, South Korea","Li, M., KAIST, School of Computing, Daejeon, South Korea; Nguyen, A., KAIST, School of Computing, Daejeon, South Korea; Fernandez, M., KAIST, School of Computing, Daejeon, South Korea","Recent advancements in computational theory and mathematics have demonstrated the critical role of linear programming in modern computing infrastructures. In this work, we tackle fundamental challenges in randomized algorithms by proposing an explainable framework specifically designed for autonomous platforms. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 31.5% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying linear programming models in production.",linear programming; randomized algorithms; formal verification; algorithmic game theory; approximation algorithms; graph theory,markov chains; spectral graph theory; linear programming; formal verification; Algorithms; graph theory; algorithmic game theory; approximation algorithms; Computer Science; randomized algorithms; Performance evaluation; computability theory,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Li, M., KAIST, School of Computing, Daejeon, South Korea",,Elsevier / IEEE,1984-4402,,,,English,Discrete Applie,Article,Final,Green,Scopus,2-s2.0-85000000813,Computational Theory and Mathematics
"Rossi, M.",57000945442,Dynamic Convex Optimization Integration with Topology for Autonomous Platforms: Case Study 104 in Computational Theory and Mathematics,2023,Journal of the ACM,49,12,,859,880,22,8,10.1016/j.comp.2023.000814,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000814&doi=10.1016/j.comp.2023.000814,"Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand","Rossi, M., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand","Recent advancements in computational theory and mathematics have demonstrated the critical role of convex optimization in modern computing infrastructures. In this work, we tackle fundamental challenges in topology by proposing an dynamic framework specifically designed for autonomous platforms. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 18.5% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying convex optimization models in production.",convex optimization; topology; matrix decomposition; boolean satisfiability; formal verification,boolean satisfiability; formal verification; numerical analysis; Algorithms; matrix decomposition; quantum computing; Computer Science; convex optimization; Performance evaluation; topology,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Rossi, M., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand",,Elsevier / IEEE,7199-9973,,,,English,Journal of the ,Article,Final,Gold,Scopus,2-s2.0-85000000814,Computational Theory and Mathematics
"Kumar, C., Patel, J., Rossi, K., Phalasak, N., Johnson, E.",57000474254; 57000369251; 57000702755; 57000923818; 57000280425,Explainable Approximation Algorithms Integration with Boolean Satisfiability for Real-Time Environments: Case Study 105 in Computational Theory and Mathematics,2020,Journal of the ACM,119,11,,879,889,11,12,10.1016/j.comp.2020.000815,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000815&doi=10.1016/j.comp.2020.000815,"Stanford University, Department of Computer Science, Stanford, United States","Kumar, C., Stanford University, Department of Computer Science, Stanford, United States; Patel, J., Stanford University, Department of Computer Science, Stanford, United States; Rossi, K., Stanford University, Department of Computer Science, Stanford, United States; Phalasak, N., Stanford University, Department of Computer Science, Stanford, United States; Johnson, E., Stanford University, Department of Computer Science, Stanford, United States","Recent advancements in computational theory and mathematics have demonstrated the critical role of approximation algorithms in modern computing infrastructures. In this work, we tackle fundamental challenges in boolean satisfiability by proposing an explainable framework specifically designed for real-time environments. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 26.4% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying approximation algorithms models in production.",approximation algorithms; boolean satisfiability; combinatorial optimization; cryptographic algorithms; convex optimization; numerical analysis,markov chains; boolean satisfiability; numerical analysis; Algorithms; matrix decomposition; discrete mathematics; combinatorial optimization; approximation algorithms; cryptographic algorithms; Computer Science; convex optimization; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Kumar, C., Stanford University, Department of Computer Science, Stanford, United States",,Elsevier / IEEE,6025-4692,,,,English,Journal of the ,Article,Final,Green,Scopus,2-s2.0-85000000815,Computational Theory and Mathematics
"Chen, L., Fernandez, E., Brown, C.",57000653894; 57000641922; 57000390694,Dynamic Algorithmic Game Theory Integration with Computational Complexity for Large-Scale Systems: Case Study 106 in Computational Theory and Mathematics,2026,Journal of the ACM,30,6,,637,647,11,0,10.1016/j.comp.2026.000816,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000816&doi=10.1016/j.comp.2026.000816,"Technical University of Munich, Department of Informatics, Munich, Germany","Chen, L., Technical University of Munich, Department of Informatics, Munich, Germany; Fernandez, E., Technical University of Munich, Department of Informatics, Munich, Germany; Brown, C., Technical University of Munich, Department of Informatics, Munich, Germany","Recent advancements in computational theory and mathematics have demonstrated the critical role of algorithmic game theory in modern computing infrastructures. In this work, we tackle fundamental challenges in computational complexity by proposing an dynamic framework specifically designed for large-scale systems. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 13.3% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying algorithmic game theory models in production.",algorithmic game theory; computational complexity; randomized algorithms; markov chains; approximation algorithms; computability theory,markov chains; linear programming; Algorithms; algorithmic game theory; approximation algorithms; cryptographic algorithms; Computer Science; randomized algorithms; computational complexity; Performance evaluation; computability theory,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Chen, L., Technical University of Munich, Department of Informatics, Munich, Germany",,Elsevier / IEEE,5570-2347,,,,English,Journal of the ,Article,Final,Gold,Scopus,2-s2.0-85000000816,Computational Theory and Mathematics
"Wang, M., Petrov, M.",57000153433; 57000426060,Hierarchical Computational Complexity Integration with Quantum Computing for Real-Time Environments: Case Study 107 in Computational Theory and Mathematics,2021,Journal of the ACM,86,8,,1128,1148,21,20,10.1016/j.comp.2021.000817,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000817&doi=10.1016/j.comp.2021.000817,"Technical University of Munich, Department of Informatics, Munich, Germany","Wang, M., Technical University of Munich, Department of Informatics, Munich, Germany; Petrov, M., Technical University of Munich, Department of Informatics, Munich, Germany","Recent advancements in computational theory and mathematics have demonstrated the critical role of computational complexity in modern computing infrastructures. In this work, we tackle fundamental challenges in quantum computing by proposing an hierarchical framework specifically designed for real-time environments. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 13.4% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying computational complexity models in production.",computational complexity; quantum computing; matrix decomposition; formal verification; cryptographic algorithms; linear programming,linear programming; formal verification; Algorithms; quantum computing; matrix decomposition; graph theory; algorithmic game theory; cryptographic algorithms; Computer Science; randomized algorithms; computational complexity; convex optimization; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Wang, M., Technical University of Munich, Department of Informatics, Munich, Germany",,Elsevier / IEEE,1810-2313,,,,English,Journal of the ,Article,Final,All Open Access,Scopus,2-s2.0-85000000817,Computational Theory and Mathematics
"Zhang, A., Silva, D., Sato, M., Muller, M.",57000886654; 57000823369; 57000620494; 57000883850,Optimal Algorithmic Game Theory Integration with Computability Theory for Autonomous Platforms: Case Study 108 in Computational Theory and Mathematics,2022,Discrete Applied Mathematics,115,9,,674,694,21,3,10.1016/j.comp.2022.000818,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000818&doi=10.1016/j.comp.2022.000818,"Massachusetts Institute of Technology, CSAIL, Cambridge, United States","Zhang, A., Massachusetts Institute of Technology, CSAIL, Cambridge, United States; Silva, D., Massachusetts Institute of Technology, CSAIL, Cambridge, United States; Sato, M., Massachusetts Institute of Technology, CSAIL, Cambridge, United States; Muller, M., Massachusetts Institute of Technology, CSAIL, Cambridge, United States","Recent advancements in computational theory and mathematics have demonstrated the critical role of algorithmic game theory in modern computing infrastructures. In this work, we tackle fundamental challenges in computability theory by proposing an optimal framework specifically designed for autonomous platforms. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 15.5% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying algorithmic game theory models in production.",algorithmic game theory; computability theory; graph theory; cryptographic algorithms; randomized algorithms; spectral graph theory,spectral graph theory; linear programming; Algorithms; graph theory; algorithmic game theory; cryptographic algorithms; Computer Science; randomized algorithms; Performance evaluation; computability theory,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Zhang, A., Massachusetts Institute of Technology, CSAIL, Cambridge, United States",,Elsevier / IEEE,6974-1154,,,,English,Discrete Applie,Article,Final,All Open Access,Scopus,2-s2.0-85000000818,Computational Theory and Mathematics
"Nguyen, C.",57000334311,High-Throughput Cryptographic Algorithms Integration with Computational Complexity for Real-Time Environments: Case Study 109 in Computational Theory and Mathematics,2024,SIAM Journal on Computing,69,2,,851,859,9,6,10.1016/j.comp.2024.000819,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000819&doi=10.1016/j.comp.2024.000819,"University of Oxford, Department of Computer Science, Oxford, United Kingdom","Nguyen, C., University of Oxford, Department of Computer Science, Oxford, United Kingdom","Recent advancements in computational theory and mathematics have demonstrated the critical role of cryptographic algorithms in modern computing infrastructures. In this work, we tackle fundamental challenges in computational complexity by proposing an high-throughput framework specifically designed for real-time environments. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 26.1% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying cryptographic algorithms models in production.",cryptographic algorithms; computational complexity; matrix decomposition; automata theory,markov chains; spectral graph theory; Algorithms; matrix decomposition; automata theory; cryptographic algorithms; Computer Science; computational complexity; convex optimization; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Nguyen, C., University of Oxford, Department of Computer Science, Oxford, United Kingdom",,Elsevier / IEEE,7991-1450,,,,English,SIAM Journal on,Article,Final,None,Scopus,2-s2.0-85000000819,Computational Theory and Mathematics
"Surinta, C., Phalasak, F., Kumar, S.",57000312653; 57000809724; 57000724659,Generative Approximation Algorithms Integration with Matrix Decomposition for Cloud Infrastructures: Case Study 110 in Computational Theory and Mathematics,2021,Journal of the ACM,33,5,,1121,1128,8,24,10.1016/j.comp.2021.000820,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000820&doi=10.1016/j.comp.2021.000820,"King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand","Surinta, C., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand; Phalasak, F., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand; Kumar, S., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand","Recent advancements in computational theory and mathematics have demonstrated the critical role of approximation algorithms in modern computing infrastructures. In this work, we tackle fundamental challenges in matrix decomposition by proposing an generative framework specifically designed for cloud infrastructures. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 29.2% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying approximation algorithms models in production.",approximation algorithms; matrix decomposition; topology; cryptographic algorithms; discrete mathematics; quantum computing,spectral graph theory; Algorithms; matrix decomposition; quantum computing; graph theory; approximation algorithms; cryptographic algorithms; Computer Science; discrete mathematics; Performance evaluation; topology,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Surinta, C., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand",,Elsevier / IEEE,9995-7002,,,,English,Journal of the ,Article,Final,Green,Scopus,2-s2.0-85000000820,Computational Theory and Mathematics
"Fernandez, W., Wang, E., Ngamjan-at, K.",57000801633; 57000407400; 57000303585,Adaptive Discrete Mathematics Integration with Randomized Algorithms for Cloud Infrastructures: Case Study 111 in Computational Theory and Mathematics,2023,Algorithmica,55,8,,532,545,14,6,10.1016/j.comp.2023.000821,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000821&doi=10.1016/j.comp.2023.000821,"KAIST, School of Computing, Daejeon, South Korea","Fernandez, W., KAIST, School of Computing, Daejeon, South Korea; Wang, E., KAIST, School of Computing, Daejeon, South Korea; Ngamjan-at, K., KAIST, School of Computing, Daejeon, South Korea","Recent advancements in computational theory and mathematics have demonstrated the critical role of discrete mathematics in modern computing infrastructures. In this work, we tackle fundamental challenges in randomized algorithms by proposing an adaptive framework specifically designed for cloud infrastructures. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 31.7% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying discrete mathematics models in production.",discrete mathematics; randomized algorithms; automata theory; algorithmic game theory,Algorithms; algorithmic game theory; automata theory; Computer Science; randomized algorithms; discrete mathematics; Performance evaluation; topology,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Fernandez, W., KAIST, School of Computing, Daejeon, South Korea",,Elsevier / IEEE,8735-1326,,,,English,Algorithmica,Article,Final,Bronze,Scopus,2-s2.0-85000000821,Computational Theory and Mathematics
"Kuson, A., Johnson, C., Rossi, O., Petrov, M.",57000357853; 57000706144; 57000990979; 57000482391,Scalable Combinatorial Optimization Integration with Numerical Analysis for Edge Devices: Case Study 112 in Computational Theory and Mathematics,2020,SIAM Journal on Computing,35,6,,96,116,21,24,10.1016/j.comp.2020.000822,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000822&doi=10.1016/j.comp.2020.000822,"Nanyang Technological University, School of Computer Science and Engineering, Singapore","Kuson, A., Nanyang Technological University, School of Computer Science and Engineering, Singapore; Johnson, C., Nanyang Technological University, School of Computer Science and Engineering, Singapore; Rossi, O., Nanyang Technological University, School of Computer Science and Engineering, Singapore; Petrov, M., Nanyang Technological University, School of Computer Science and Engineering, Singapore","Recent advancements in computational theory and mathematics have demonstrated the critical role of combinatorial optimization in modern computing infrastructures. In this work, we tackle fundamental challenges in numerical analysis by proposing an scalable framework specifically designed for edge devices. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 27.1% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying combinatorial optimization models in production.",combinatorial optimization; numerical analysis; graph theory; cryptographic algorithms,boolean satisfiability; numerical analysis; formal verification; Algorithms; graph theory; combinatorial optimization; cryptographic algorithms; Computer Science; randomized algorithms; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Kuson, A., Nanyang Technological University, School of Computer Science and Engineering, Singapore",,Elsevier / IEEE,9563-5227,,,,English,SIAM Journal on,Article,Final,Gold,Scopus,2-s2.0-85000000822,Computational Theory and Mathematics
"Silva, Z., Brown, Z.",57000217971; 57000750120,Distributed Topology Integration with Formal Verification for Large-Scale Systems: Case Study 113 in Computational Theory and Mathematics,2024,Journal of the ACM,50,4,,96,105,10,0,10.1016/j.comp.2024.000823,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000823&doi=10.1016/j.comp.2024.000823,"Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand","Silva, Z., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand; Brown, Z., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand","Recent advancements in computational theory and mathematics have demonstrated the critical role of topology in modern computing infrastructures. In this work, we tackle fundamental challenges in formal verification by proposing an distributed framework specifically designed for large-scale systems. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 25.2% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying topology models in production.",topology; formal verification; boolean satisfiability; algorithmic game theory,boolean satisfiability; formal verification; Algorithms; quantum computing; algorithmic game theory; combinatorial optimization; Computer Science; computational complexity; Performance evaluation; topology,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Silva, Z., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand",,Elsevier / IEEE,2653-7034,,,,English,Journal of the ,Article,Final,All Open Access,Scopus,2-s2.0-85000000823,Computational Theory and Mathematics
"Brown, P., Petrov, A., Al-Mansoor, Z.",57000404927; 57000523918; 57000847545,Adaptive Quantum Computing Integration with Numerical Analysis for Large-Scale Systems: Case Study 114 in Computational Theory and Mathematics,2021,Discrete Applied Mathematics,43,3,,1005,1020,16,1,10.1016/j.comp.2021.000824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000824&doi=10.1016/j.comp.2021.000824,"KAIST, School of Computing, Daejeon, South Korea","Brown, P., KAIST, School of Computing, Daejeon, South Korea; Petrov, A., KAIST, School of Computing, Daejeon, South Korea; Al-Mansoor, Z., KAIST, School of Computing, Daejeon, South Korea","Recent advancements in computational theory and mathematics have demonstrated the critical role of quantum computing in modern computing infrastructures. In this work, we tackle fundamental challenges in numerical analysis by proposing an adaptive framework specifically designed for large-scale systems. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 20.8% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying quantum computing models in production.",quantum computing; numerical analysis; markov chains; boolean satisfiability,markov chains; boolean satisfiability; numerical analysis; Algorithms; quantum computing; combinatorial optimization; Computer Science; computational complexity; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Brown, P., KAIST, School of Computing, Daejeon, South Korea",,Elsevier / IEEE,7954-3003,,,,English,Discrete Applie,Article,Final,Green,Scopus,2-s2.0-85000000824,Computational Theory and Mathematics
"Kim, C., Patel, N., Surinta, S.",57000672531; 57000907852; 57000180069,Scalable Matrix Decomposition Integration with Numerical Analysis for Distributed Networks: Case Study 115 in Computational Theory and Mathematics,2022,SIAM Journal on Computing,58,11,,94,113,20,2,10.1016/j.comp.2022.000825,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000825&doi=10.1016/j.comp.2022.000825,"King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand","Kim, C., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand; Patel, N., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand; Surinta, S., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand","Recent advancements in computational theory and mathematics have demonstrated the critical role of matrix decomposition in modern computing infrastructures. In this work, we tackle fundamental challenges in numerical analysis by proposing an scalable framework specifically designed for distributed networks. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 23.5% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying matrix decomposition models in production.",matrix decomposition; numerical analysis; cryptographic algorithms; formal verification; quantum computing; boolean satisfiability,boolean satisfiability; formal verification; numerical analysis; Algorithms; matrix decomposition; quantum computing; cryptographic algorithms; Computer Science; convex optimization; Performance evaluation; topology,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Kim, C., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand",,Elsevier / IEEE,8567-3634,,,,English,SIAM Journal on,Article,Final,Gold,Scopus,2-s2.0-85000000825,Computational Theory and Mathematics
"Wang, S., Chen, D., Rossi, C., Brown, P.",57000909188; 57000393793; 57000543391; 57000910721,Adaptive Formal Verification Integration with Graph Theory for Data-Intensive Applications: Case Study 116 in Computational Theory and Mathematics,2024,Discrete Applied Mathematics,113,5,,1336,1350,15,0,10.1016/j.comp.2024.000826,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000826&doi=10.1016/j.comp.2024.000826,"University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan","Wang, S., University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan; Chen, D., University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan; Rossi, C., University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan; Brown, P., University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan","Recent advancements in computational theory and mathematics have demonstrated the critical role of formal verification in modern computing infrastructures. In this work, we tackle fundamental challenges in graph theory by proposing an adaptive framework specifically designed for data-intensive applications. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 15.6% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying formal verification models in production.",formal verification; graph theory; linear programming; combinatorial optimization; spectral graph theory; topology,spectral graph theory; linear programming; formal verification; Algorithms; graph theory; combinatorial optimization; Computer Science; discrete mathematics; Performance evaluation; topology,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Wang, S., University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan",,Elsevier / IEEE,9709-4766,,,,English,Discrete Applie,Article,Final,Bronze,Scopus,2-s2.0-85000000826,Computational Theory and Mathematics
